Date,Open,High,Low,Close,Adj Close,Volume
1984-10-17,0.000000,0.148438,0.144531,0.144531,0.106220,9868800
1984-10-18,0.000000,0.156250,0.148438,0.148438,0.109090,5324800
1984-10-19,0.000000,0.148438,0.144531,0.144531,0.106220,3043200
1984-10-22,0.000000,0.148438,0.144531,0.144531,0.106220,2326400
1984-10-23,0.000000,0.144531,0.140625,0.140625,0.103349,787200
1984-10-24,0.000000,0.148438,0.144531,0.144531,0.106220,230400
1984-10-25,0.000000,0.148438,0.140625,0.140625,0.103349,1587200
1984-10-26,0.000000,0.144531,0.140625,0.140625,0.103349,758400
1984-10-29,0.000000,0.144531,0.140625,0.140625,0.103349,614400
1984-10-30,0.000000,0.148438,0.140625,0.140625,0.103349,192000
1984-10-31,0.000000,0.148438,0.144531,0.144531,0.106220,297600
1984-11-01,0.000000,0.144531,0.140625,0.140625,0.103349,352000
1984-11-02,0.000000,0.144531,0.140625,0.140625,0.103349,1638400
1984-11-05,0.000000,0.140625,0.136719,0.136719,0.100478,534400
1984-11-06,0.000000,0.140625,0.136719,0.136719,0.100478,544000
1984-11-07,0.000000,0.140625,0.136719,0.136719,0.100478,76800
1984-11-08,0.000000,0.140625,0.136719,0.136719,0.100478,44800
1984-11-09,0.000000,0.140625,0.136719,0.136719,0.100478,896000
1984-11-12,0.000000,0.140625,0.136719,0.136719,0.100478,300800
1984-11-13,0.000000,0.140625,0.136719,0.136719,0.100478,464000
1984-11-14,0.000000,0.140625,0.132813,0.132813,0.097607,1523200
1984-11-15,0.000000,0.136719,0.132813,0.132813,0.097607,156800
1984-11-16,0.000000,0.136719,0.125000,0.125000,0.091866,579200
1984-11-19,0.000000,0.136719,0.125000,0.125000,0.091866,358400
1984-11-20,0.000000,0.128906,0.121094,0.121094,0.088995,179200
1984-11-21,0.000000,0.128906,0.121094,0.121094,0.088995,905600
1984-11-23,0.000000,0.128906,0.121094,0.121094,0.088995,25600
1984-11-26,0.000000,0.128906,0.125000,0.125000,0.091866,166400
1984-11-27,0.000000,0.132813,0.128906,0.128906,0.094736,147200
1984-11-28,0.000000,0.132813,0.128906,0.128906,0.094736,492800
1984-11-29,0.000000,0.132813,0.128906,0.128906,0.094736,262400
1984-11-30,0.000000,0.132813,0.128906,0.128906,0.094736,556800
1984-12-03,0.000000,0.132813,0.125000,0.125000,0.091866,380800
1984-12-04,0.000000,0.128906,0.121094,0.121094,0.088995,217600
1984-12-05,0.000000,0.128906,0.121094,0.121094,0.088995,102400
1984-12-06,0.000000,0.125000,0.117188,0.117188,0.086124,630400
1984-12-07,0.000000,0.121094,0.117188,0.117188,0.086124,86400
1984-12-10,0.000000,0.121094,0.117188,0.117188,0.086124,2099200
1984-12-11,0.000000,0.121094,0.117188,0.117188,0.086124,188800
1984-12-12,0.000000,0.121094,0.117188,0.117188,0.086124,393600
1984-12-13,0.000000,0.121094,0.117188,0.117188,0.086124,102400
1984-12-14,0.000000,0.121094,0.117188,0.117188,0.086124,89600
1984-12-17,0.000000,0.121094,0.117188,0.117188,0.086124,102400
1984-12-18,0.000000,0.121094,0.117188,0.117188,0.086124,214400
1984-12-19,0.000000,0.121094,0.117188,0.117188,0.086124,102400
1984-12-20,0.000000,0.121094,0.117188,0.117188,0.086124,121600
1984-12-21,0.000000,0.121094,0.117188,0.117188,0.086124,704000
1984-12-24,0.000000,0.121094,0.117188,0.117188,0.086124,921600
1984-12-26,0.000000,0.121094,0.117188,0.117188,0.086124,521600
1984-12-27,0.000000,0.125000,0.117188,0.117188,0.086124,947200
1984-12-28,0.000000,0.121094,0.117188,0.117188,0.086124,76800
1984-12-31,0.000000,0.125000,0.117188,0.117188,0.086124,457600
1985-01-02,0.000000,0.125000,0.121094,0.121094,0.088995,179200
1985-01-03,0.000000,0.132813,0.121094,0.121094,0.088995,227200
1985-01-04,0.000000,0.132813,0.121094,0.121094,0.088995,390400
1985-01-07,0.000000,0.136719,0.128906,0.128906,0.094736,2652800
1985-01-08,0.000000,0.152344,0.144531,0.144531,0.106220,1190400
1985-01-09,0.000000,0.152344,0.144531,0.144531,0.106220,403200
